month,mean_wind,p95_wind,p99_wind,mean_gust,gust_factor,sigma_theta,steadiness
1,2.4160471774193546,6.1321999999999965,8.42,3.4356500000000003,1.6602404109601216,12.73304879032258,0.965161238383879
2,2.4875556547619047,5.573249999999997,6.832819999999988,3.9104895833333337,1.7616675234660537,14.926352827380953,0.9503128734638225
3,3.0117230148048453,6.384649999999998,8.0871,4.91642866756393,1.802433108410904,16.72097415881561,0.9450701879283622
4,3.443079861111111,7.003099999999999,8.670100000000001,5.371418055555555,1.6810346559773337,15.66926222222222,0.9540999061437253
5,4.10579059139785,8.35,9.806099999999997,6.313806720430108,1.6611520011702754,15.574472311827956,0.9554826276563662
6,4.341650994050211,8.09,9.552000000000008,6.8698574952837035,1.6697683865332387,16.34600580467276,0.9536192166308028
7,4.090101956947162,7.528150000000002,8.8791,6.369411741682974,1.635535703642546,15.55362074363992,0.9579583671614547
8,3.713130510752688,7.4494999999999925,8.9,5.902526075268818,1.7271429119337236,16.147287231182794,0.9533593640952206
9,3.5974309722222224,7.396,8.96,5.534512361111111,1.7270687067671944,14.194765833333333,0.9630955845797716
10,2.3107627688172045,5.920199999999997,7.9392999999999905,3.608806048387097,2.1674106707992484,14.459070295698924,0.955056139146182
11,2.8627699029126212,6.191199999999997,10.787299999999995,4.252970873786407,1.7160129084103288,14.013166851595008,0.9596272650181908
12,2.5670154569892474,6.211099999999999,8.366099999999996,3.749834274193548,1.7141563257860475,13.288306451612904,0.9623917007363829
