sector_lo_deg,sector_hi_deg,sector_ctr_deg,count,pct_windy,mean_speed_ms,strong_count,pct_strong
0,15,7.50,2590,3.21,3.33,532,2.63
15,30,22.50,1556,1.93,2.94,242,1.20
30,45,37.50,984,1.22,2.56,142,0.70
45,60,52.50,826,1.02,2.77,169,0.84
60,75,67.50,660,0.82,1.91,49,0.24
75,90,82.50,766,0.95,1.46,0,0.00
90,105,97.50,1036,1.28,1.68,5,0.02
105,120,112.50,1466,1.82,2.04,21,0.10
120,135,127.50,1793,2.22,2.23,73,0.36
135,150,142.50,2859,3.54,3.39,732,3.62
150,165,157.50,1896,2.35,3.20,432,2.14
165,180,172.50,559,0.69,2.10,25,0.12
180,195,187.50,380,0.47,1.56,1,0.00
195,210,202.50,692,0.86,1.78,2,0.01
210,225,217.50,2792,3.46,2.58,123,0.61
225,240,232.50,9640,11.94,3.47,2105,10.42
240,255,247.50,26388,32.68,4.59,12221,60.51
255,270,262.50,9363,11.59,3.23,1911,9.46
270,285,277.50,4260,5.28,2.28,389,1.93
285,300,292.50,2275,2.82,1.47,9,0.04
300,315,307.50,1453,1.80,1.48,8,0.04
315,330,322.50,1512,1.87,1.70,15,0.07
330,345,337.50,2450,3.03,2.67,340,1.68
345,360,352.50,2560,3.17,3.28,650,3.22
